product_name,product_price,product_description
Yuzu Marmalade,$9.99,Tangy citrus spread with a hint of honey.
Hydro Flask Water Bottle,$39.95,Keep your drinks cold or hot for hours.
Organic Coconut Milk,$2.99,"Creamy, dairy-free alternative for cooking and baking."
Scrivener,$49.99,All-in-one tool for writing and research organization.
Sleep Well Pillow Spray,$9.99,Relaxing lavender scent to promote sleep.
Canon PowerShot SX620 HS Digital Camera,$249.99,Compact camera with 25x optical zoom.
Badia Lemon Pepper Seasoning,$4.99,Zesty blend of black pepper and lemon peel.
The Godfather Trilogy (Blu-ray),$29.99,Relive the drama of the Corleone family across three films.
Zester Grater,$10.99,"Perfect for zesting citrus fruits, grating hard cheeses, ginger and chocolate."
Shark Navigator Lift-Away Professional Vacuum Cleaner,$199.99,"Versatile, powerful, and lightweight vacuum cleaner for deep cleaning carpets and hard floors."
The Nightingale,$16.99,Historical fiction about sisters in WWII.
Trail Runner 3000,$129.99,Water-resistant GPS watch.
Swatch Popiness,$70,"Fun, colorful watch with easy-to-read numbers."
Stainless Steel Wire Rope,$15.99,High-quality cable with excellent corrosion resistance.
Resource Scheduling Software,$99.99,Efficiently schedule resources with ease.
Everlast Round Timer,$52.99,Interval timer for punch training.
Cajon Drum,$199.99,Handcrafted wooden drum percussion.
Jade Roller,$20,Gently massage and reduce inflammation.
NaturaLife Labs Organic Peppermint Essential Oil,$9.99,Soothing aroma for relaxation and sinus relief.
Stackable Clear Plastic Storage Bins,$19.99,Organize your space with ease.
Lantern Camp Chair,$49.99,Ultra-portable chair with built-in lantern for outdoor use.
Zombieland: Double Tap Road Trip,$39.99,Battle hordes of zombies in this action-packed adventure.
Blade Runner: The Final Cut,$14.99,The definitive version of the sci-fi classic.
AirPods Pro,$249.00,Wireless noise-cancellation earbuds with immersive sound.
Eraser Pencil Caps,$3.99,A set of 12 eraser pencil caps that fit most standard pencils.
Shark Attack Pinball Game,$24.99,Experience the thrill of a shark attack in this classic pinball game.
Svelvik Daybed Frame,$249.00,"Elegant and versatile, fits any room decor."
Marbled Face Watch,$89.99,Classy and chic marbled face watch.
Chefman 4 Slice Waffle Maker,$34.99,Make crispy waffles at home.
Razor Pocket Mod Electric Scooter,$249.99,A vintage-style electric scooter perfect for cruising.
Ember Temperature Control Smart Mug,$129.95,Keeps beverages at the precise temperature for hours.
Adobe Creative Cloud Photography,$9.99/month,Edit and organize photos with professional tools.
Hyper Juice Wireless Charger,$49.99,Fast wireless charging with anti-slip design.
Golden State Warriors 2017 Championship Framed Photo,$119.99,Celebrate the Warriors' championship victory with this beautifully framed photo.
Lysol Disinfecting Wipes,$8.99,Powerful cleaning and disinfecting wipes for all surfaces.
Solar Garden Lights,$29.99,Decorative lights powered by solar energy.
Grip Pen,$2.99,"Smooth-writing, comfortable pen with textured grip."
Desk Fan,$29.99,Stay cool during work hours.
Sonoma Bed,$699,Sleek and modern platform bed with storage.
BoomStick,$99,Enhance audio quality on any device.
SwaddleMe Original Swaddle,$9.99,Keep baby cozy and calm with our best-selling swaddle.
Aviva Lucky Lounge Chair,$39.99,Inflatable chair perfect for outdoor relaxation.
Jute Coasters,$15,"Set of 6, eco-friendly coasters made with natural materials."
Scrivener 3,$49.00,Writing software for authors and screenwriters.
Boogie Board,$35.99,LCD writing tablet for doodling and note-taking.
Sock Monkey Plush Toy,$12.99,Soft and cuddly classic toy.
Amethyst Crystal Necklace,$25.99,Handmade necklace with genuine amethyst crystal.
Harmonica Set,$19.99,Beginner's set of four harmonicas in different keys.
Reusable Cotton Rounds,$12.99,"Washable, eco-friendly makeup remover pads."
LumaSnap Phone Grip and Stand,$7.99,Secure grip and stand for phones.
The Art of Happiness,$14.99,A guide to finding joy and peace through Buddhist teachings.
Snug Wrap,$29.99,Ultra-soft and cozy baby wrap for snuggles on-the-go.
Parasite (Blu-ray),$14.99,Award-winning Korean thriller about class warfare.
Golden Age Captain America #25 Comic Book,$280.00,Rare comic book from the 1950s.
CleanPro X80 Microfiber Cleaning Cloths,$24.99,High-quality microfiber cloths for efficient cleaning.
Opal Dangle Earrings,$99.99,Gleaming opals sway from delicate gold hoops.
Speedy Spinners,$9.99,Set of 4 spinning tops with launchers.
Neck Warmer Scarf,$19.99,Stay cozy with this versatile scarf.
Reams of Paper,$35.99,High-quality paper for all your printing needs.
Burntwood Camo 50L Backpack,$89.99,"Durable, waterproof backpack in a stylish camo design."
True Wireless Earbuds,$49.99,Crystal clear sound for music lovers.
Glow Getter Trio,$25,Get that dewy glow with these skincare essentials.
Virtual DJ Software,$99.99,The ultimate software for DJs to mix and play music virtually.
Urbanist Mens Watch,$49.99,Sleek mens watch with black leather strap.
MyDraw,$69.00,A powerful diagramming software.
Zooey Sofa,$799,"Comfortable and stylish, the Zooey Sofa is perfect for any living room."
Cozy Swaddle Blanket,$24.99,Soft and snuggly blanket for newborns.
Smooth 'N' Go Hair Removal Kit,$29.99,Easy-to-use for silky smooth skin.
Webroot SecureAnywhere AntiVirus,$29.99,"Simple, fast, effective protection."
Kitchen Confidential,$14.99,Anthony Bourdain's behind-the-scenes look at the restaurant industry.
Crystal Drop Earrings,$29.99,Sparkling crystal earrings for a night out.
Vortex Air Fryer,$129.99,Fry foods without oil for healthier cooking.
Dead Silence,$8.99,Horror movie about a cursed ventriloquist dummy.
Adobe Creative Cloud,$20.99/month,Access to over 20 creative apps for design and multimedia.
Lip Plumping Balm,$12.99,Instantly hydrate and plump lips.
Celestial Charm Necklace,$49.99,"A delicate necklace featuring stars, moon, and sun charms."
Chronicles of Narnia Box Set,$29.99,Experience the full journey of Narnia.
Vintage 1940s baseball,$199.99,"Authentic, well-preserved baseball from an iconic era."
Battleborn - PlayStation 4,$9.99,"Epic first-person shooter, where players battle for the last star."
Ohaus Navigator XL Bench Scale,$636.00,"Accurate, durable bench scale for weight measurement."
Flex Tripod,$29.99,Versatile tripod for steady photos and videos.
JuperbSky Digital Sports Watch,$29.99,"Stylish, versatile, and reliable digital sports watch for all your fitness needs."
Blushing Scarf,$29.99,"Soft and elegant, this scarf adds a pop of color to any outfit."
3M Littmann Classic III Stethoscope,$87.45,High-quality stethoscope for precise medical diagnosis.
Jump Rocket Launch Pad,$19.99,Launch foam rockets up to 100 feet in the air!
Bluetooth Eye Mask,$29.99,"Wireless earphone-enabled, comfortable sleep mask."
Super Mario Party,$59.99,Fun multiplayer party game for Nintendo Switch.
Iron-on Patches,$7.99,Decorate and repair clothing with ease.
Smart WiFi Air Quality Monitor,$79.99,Track air quality via smartphone app.
Stomp Rocket Jr. Glow,$14.99,Outdoor rocket toy for kids.
Handmade Leather Journal,$35,Decorate & organize thoughts.
Patchwork Quilt,$150,Beautiful handmade quilt made from repurposed fabrics.
Cashmere Scarf,$89.99,Ultra-soft scarf perfect for winter.
Melodica,$29.99,A compact keyboard with a unique sound.
Boogie Board,$25,Write without paper.
Stardew Valley,$14.99,Farming simulation RPG.
Freeway 7 Express,$49.99,Efficient website design and development software.
Flauta Júpiter,$799,Professional flute with sterling silver head joint.
Redtail 2-Person Camping Tent,$129.99,Easy to set up and spacious.
Crystal Drop Earrings,$19.99,"Delicate and elegant, perfect for any occasion."
Desk Organizer Set,$15.99,Keep your desk clean and organized with our all-in-one set.
Sunflower Stud Earrings,$19.99,Bring a little sunshine to your day with these delicate sunflower studs.
Ghostbusters 1 & 2 Steelbook,$29.99,Double feature Blu-ray in limited edition case.
Giggles and Wiggles Playmat,$29.99,Soft and colorful mat for baby's playtime.
Fleece-lined hoodie,$29.99,"Stay cozy in cold weather with this warm, comfortable hoodie."
Grip2u Boost Case for iPhone SE (2020),$39.99,"Protective, wireless charging compatible phone case with built-in grip."
Marvel Final Battle,$225.99,This limited edition poster captures the epic final battle scene from Avengers: Endgame in stunning detail.
CamKix Waterproof Housing for GoPro Hero 4 and 3+,$14.99,Capture amazing underwater footage with this durable housing.
Wobble Chess Set,$29.99,"A playful and unconventional take on the classic game of chess, with wobbling pieces that add an element of surprise and entertainment."
Logitech M570 Wireless Trackball Mouse,$39.99,Ergonomic wireless trackball for enhanced comfort.
Logitech Wireless Keyboard,$29.99,Compact and easy-to-use wireless keyboard.
Acoustic Guitar Starter Package,$149.99,Everything to start playing today.
Wonder Woman,$14.99,A female warrior fights to save the world.
Diamond Stud Earrings,$999.99,Classic elegance for any occasion.
The Simpsons Movie,$9.99,Watch Homer save the day (sort of).
Solar-Powered Watch,$79.99,No more batteries—just sunlight.
Boho Macrame Wall Hanging,$34.99,Handmade decor for modern homes.
Acrylic Desk Organizer,$19.99,Keep your desk clutter-free with clear acrylic storage.
Quik Shade Beach Chair,$49.99,Portable chair with sun shade for beach trips.
"""The Four Agreements""",$9.59,Guide to personal freedom based on ancient Toltec wisdom.
Digital Sound Pressure Level Meter,$35.99,Accurately measures sound levels up to 130 dB.
Chronosport Men's Watch,$299.99,Classic style meets modern tech.
BlazePod Flash Reflex Training System,$329.99,Improve reaction time with visual cues.
Garden Wind Spinner,$29.99,Add visual interest to your outdoor space with this artisan-crafted wind spinner.
Modern Mesh Watch,$99.99,Sleek and stylish design with stainless steel mesh band.
Ionic Hairdryer,$79.99,Fast and frizz-free drying with ionic technology.
"""The Alchemist""",$14.99,A metaphysical novel about a shepherd boy's journey to fulfill his destiny.
100PCS Elastic String for Masks,$7.99,Strong and stretchy elastic for DIY face masks.
"Lenovo IdeaPad 5 14""",$599.99,Thin and light laptop perfect for telecommuting.
Bionic Wrench,$29.99,Adjustable grip wrench with 8 sizes in one.
Marilyn Monroe Fine Art Print,$49.99,"Iconic portrait of Marilyn Monroe, printed on high-quality paper."
Hair Bow Clips,$8.99,Set of 6 colorful hair bow clips for girls.
Star Trek: The Next Generation Deck Building Game,$39.99,"Build your crew, explore the galaxy."
Logitech M510 Wireless Mouse,$29.99,"Ergonomic design, long battery life."
Ergonomic Keyboard Wrist Rest Pad,$9.99,Comfortable wrist support for long hours of typing.
Reef Tiger,$440,Men's stainless steel watch with blue dial.
Glimmer Couch,$899,"Soft, stylish, and spacious sofa."
SnapVista 3D Camera,$349,Capture your memories in stunning 3D.
Wireless AirPods,$149.99,True wireless headphones with noise cancelling.
TurboBlend Two Speed Blender,$199.99,Blend with precision and power.
Airpod Case,$12.99,Stylish protection for your Airpods.
XPG GAMMIX S70 2TB M.2,$419.99,Fast and efficient storage solution.
Windshield Sun Shade,$19.99,Protect your car from damaging UV rays.
Watercolor Paint Set,$19.99,Vibrant colors in compact case for artists on-the-go.
Velvet Bow Hair Tie,$5.99,"Soft, luxurious velvet hair tie with a cute bow accent."
Luxe Lip Plumper,$19.99,"Fuller, hydrated lips in seconds."
Curiosity Cabinet Skulls,$57.99,Set of 6 mini ceramic skull replicas for curious collectors.
Logitech M525 Wireless Mouse,$39.99,"Smooth, precise, and comfortable wireless mouse."
Solar-Powered Garden Lights,$24.99,Illuminate your outdoor space with these eco-friendly lights.
Whisker City® Feather Ball Cat Toy,$4.99,Interactive toy with feathers and bell for cats.
Truffle Hunter White Truffle Oil,$14.95,Deliciously aromatic white truffle oil to enhance any dish.
Sugar Scrub,$12.99,"All-natural exfoliating scrub for soft, smooth skin."
Roku Ultra,$99.99,Stream 4K and HDR content with voice remote.
Elle Decor Amery Tufted Sofa,$759.99,Chic and comfy sofa with tufted design.
Boho Macrame Plant Hanger,$24.99,Handmade macrame plant hanger perfect for boho decor.
Oster Cordless Electric Wine Opener,$29.99,Effortlessly open wine bottles with one touch.
Doggy Delight - Duck Jerky Strips,$14.99,"All natural, protein-packed treats for your furry friend."
Sunflower Birdbath,$24.99,Adorn your garden with this charming birdbath featuring a bright and cheerful sunflower motif.
Motion Activated LED Car Door Light,$23.99,Automatic illuminating car door light.
Fluxx Board Game,$19.99,Chaos and hilarity ensue with every card played in this fast-paced game.
Snug Bug,$24.99,"Cozy, plush blanket for newborns."
SecureVault,$29.99,Securely store and access passwords.
Crystal Burst Earrings,$39.99,Dazzling crystal earrings that add a touch of glamour to any outfit.
Gone Girl Blu-Ray,$15.99,Thriller about husband's disappearance.
SnapShot Selfie Stick,$19.99,Capture the perfect shot with Bluetooth-enabled selfie stick.
Diamond Painting Kit,$19.99,Create a stunning diamond-studded masterpiece.
Trailblaze Slackline Kit,$89.99,Beginner-friendly balancing kit with tree protectors.
InstaPhoto Printer,$99.99,Print photos from your phone instantly.
Swivel Rocking Chairs,$299.99,Comfortable chairs with smooth rocking motion for outdoor relaxation.
Cozy Cave Pet Bed,$89.99,A cozy and comfortable bed for your furry friend.
Odor-Eliminating Toilet Drops,$9.99,Eliminates bathroom odor instantly.
Snugpak jungle blanket,$29.95,Compact and lightweight blanket perfect for outdoor adventures!
Spice Grinder Set,$29.99,Grind fresh spices with ease.
Linon Isabelle Bench,$129.99,A stylish and functional addition to any room.
Kaizen Blade Electric Knife Sharpener,$49.99,Quickly sharpen knives with precision and ease.
Petsmile Professional Pet Toothpaste,$22.00,Scientifically formulated to prevent plaque & bacteria.
Kala Ukulele,$99,Experience the sound and joy of a Hawaiian classic.
Vent-A-Hood Island Range Hood,"$1,899",Contemporary island range hood for modern kitchens.
Zoom Ball Hydro,$19.99,"A fast-paced, water-soaking game for all ages."
Baby's First Touch and Feel Book,$10.99,Soft and interactive pages for sensory development.
The Overstory,$18.00,Epic novel about the interconnectedness of trees.
Vintage Star Wars Action Figures,$49.99,Collectible action figures from the iconic film series.
